,Neighborhood,Year Built,SalePrice,Formated Price
199,BrkSide,1930,138400,"$138,400.00"
200,OldTown,1923,109500,"$109,500.00"
201,OldTown,1921,140000,"$140,000.00"
202,OldTown,1915,149500,"$149,500.00"
203,OldTown,1912,159900,"$159,900.00"
204,OldTown,1920,122000,"$122,000.00"
205,IDOTRR,1963,110000,"$110,000.00"
206,IDOTRR,1930,55000,"$55,000.00"
207,OldTown,1900,140000,"$140,000.00"
208,ClearCr,1940,244400,"$244,400.00"
209,ClearCr,1959,173000,"$173,000.00"
210,ClearCr,1917,107500,"$107,500.00"
211,SWISU,1915,100000,"$100,000.00"
212,SWISU,1940,95000,"$95,000.00"
213,SWISU,1907,93369,"$93,369.00"
214,SWISU,1910,114900,"$114,900.00"
215,Sawyer,1875,94000,"$94,000.00"
216,Sawyer,1967,136000,"$136,000.00"
217,Sawyer,1968,136500,"$136,500.00"
218,Sawyer,1965,131500,"$131,500.00"
219,Sawyer,1957,121500,"$121,500.00"
220,Sawyer,1967,125000,"$125,000.00"
221,Sawyer,1968,154000,"$154,000.00"
222,Sawyer,1966,137900,"$137,900.00"
223,Sawyer,1969,158000,"$158,000.00"
224,Sawyer,1968,137250,"$137,250.00"
225,Sawyer,1978,160250,"$160,250.00"
226,Sawyer,1968,163000,"$163,000.00"
227,Sawyer,1978,158900,"$158,900.00"
228,ClearCr,1996,328000,"$328,000.00"
229,ClearCr,1977,270000,"$270,000.00"
230,Sawyer,1927,85000,"$85,000.00"
231,Sawyer,1950,128000,"$128,000.00"
232,ClearCr,1979,260000,"$260,000.00"
233,ClearCr,1978,230000,"$230,000.00"
234,Edwards,1938,124000,"$124,000.00"
235,Edwards,1920,83000,"$83,000.00"
236,Edwards,1950,144500,"$144,500.00"
237,Edwards,1956,129000,"$129,000.00"
238,Edwards,1947,127000,"$127,000.00"
239,Edwards,1954,128000,"$128,000.00"
240,Edwards,2009,186000,"$186,000.00"
241,Edwards,2009,308030,"$308,030.00"
242,Edwards,1964,114000,"$114,000.00"
243,Edwards,1946,84900,"$84,900.00"
244,SawyerW,1985,178000,"$178,000.00"
245,SawyerW,1987,270000,"$270,000.00"
246,SawyerW,1993,218000,"$218,000.00"
247,SawyerW,1993,236000,"$236,000.00"
248,SawyerW,1992,147000,"$147,000.00"
249,CollgCr,2008,245350,"$245,350.00"
250,CollgCr,2006,206000,"$206,000.00"
251,CollgCr,2009,198900,"$198,900.00"
252,CollgCr,2010,187000,"$187,000.00"
253,SawyerW,1990,320000,"$320,000.00"
254,SawyerW,1900,138500,"$138,500.00"
255,ClearCr,1971,155000,"$155,000.00"
256,CollgCr,1996,159000,"$159,000.00"
257,CollgCr,1997,191000,"$191,000.00"
258,CollgCr,1998,200500,"$200,500.00"
259,CollgCr,1977,150000,"$150,000.00"
260,CollgCr,1977,161750,"$161,750.00"
261,CollgCr,1976,128200,"$128,200.00"
262,CollgCr,1972,127000,"$127,000.00"
263,CollgCr,2003,318000,"$318,000.00"
264,CollgCr,2001,272000,"$272,000.00"
265,CollgCr,2003,237000,"$237,000.00"
266,CollgCr,1997,240000,"$240,000.00"
267,CollgCr,1998,224900,"$224,900.00"
268,CollgCr,2003,143750,"$143,750.00"
269,CollgCr,2004,143000,"$143,000.00"
270,CollgCr,2003,232000,"$232,000.00"
271,CollgCr,2004,213000,"$213,000.00"
272,CollgCr,2004,185500,"$185,500.00"
273,Edwards,1945,84900,"$84,900.00"
274,Edwards,1954,155891,"$155,891.00"
275,Edwards,1965,100000,"$100,000.00"
276,Edwards,1968,144000,"$144,000.00"
277,Edwards,1948,64000,"$64,000.00"
278,Edwards,1975,125200,"$125,200.00"
279,Edwards,1976,107000,"$107,000.00"
280,Edwards,1958,90000,"$90,000.00"
281,Edwards,2003,140000,"$140,000.00"
282,Edwards,1945,113000,"$113,000.00"
283,Edwards,1941,80000,"$80,000.00"
284,Edwards,1957,144500,"$144,500.00"
285,SWISU,1924,104000,"$104,000.00"
286,SWISU,1915,128000,"$128,000.00"
287,Edwards,1914,58500,"$58,500.00"
288,SWISU,1924,127000,"$127,000.00"
289,SWISU,1939,126000,"$126,000.00"
290,SWISU,1967,160000,"$160,000.00"
291,SWISU,1931,100000,"$100,000.00"
292,SWISU,1919,169000,"$169,000.00"
293,Crawfor,1941,257500,"$257,500.00"
294,Crawfor,1950,215000,"$215,000.00"
295,Crawfor,1941,266500,"$266,500.00"
296,Crawfor,1959,335000,"$335,000.00"
297,Crawfor,1994,203135,"$203,135.00"
298,Blueste,1989,185000,"$185,000.00"
299,Blueste,1989,162500,"$162,500.00"
300,Crawfor,1959,289000,"$289,000.00"
301,IDOTRR,1922,125500,"$125,500.00"
302,IDOTRR,1941,82000,"$82,000.00"
303,IDOTRR,1921,110000,"$110,000.00"
304,IDOTRR,1920,68400,"$68,400.00"
305,IDOTRR,1900,102776,"$102,776.00"
306,IDOTRR,1952,55993,"$55,993.00"
307,IDOTRR,1896,50138,"$50,138.00"
308,Crawfor,2004,246000,"$246,000.00"
309,Mitchel,1998,254900,"$254,900.00"
310,Mitchel,1977,190000,"$190,000.00"
311,Mitchel,2003,201000,"$201,000.00"
312,Mitchel,1976,169900,"$169,900.00"
313,Mitchel,1976,170000,"$170,000.00"
314,Timber,1948,160000,"$160,000.00"
315,Timber,2008,220000,"$220,000.00"
316,Timber,2009,179781,"$179,781.00"
317,Timber,2006,174000,"$174,000.00"
318,Timber,2009,269500,"$269,500.00"
319,Timber,2002,214900,"$214,900.00"
320,Timber,2002,202900,"$202,900.00"
321,Timber,2008,378500,"$378,500.00"
322,Mitchel,1965,169000,"$169,000.00"
323,Mitchel,2004,173500,"$173,500.00"
324,Mitchel,1971,139000,"$139,000.00"
325,Mitchel,1999,166500,"$166,500.00"
326,MeadowV,1973,83500,"$83,500.00"
327,MeadowV,1973,119500,"$119,500.00"
328,MeadowV,1976,85000,"$85,000.00"
329,MeadowV,1970,76000,"$76,000.00"
330,MeadowV,1972,75500,"$75,500.00"
331,MeadowV,1970,88250,"$88,250.00"
332,MeadowV,1972,85500,"$85,500.00"
333,Mitchel,1971,130000,"$130,000.00"
334,Mitchel,1962,157900,"$157,900.00"
335,Mitchel,1984,149900,"$149,900.00"
336,Mitchel,1985,159000,"$159,000.00"
337,Mitchel,1991,136000,"$136,000.00"
338,Mitchel,1969,161000,"$161,000.00"
339,Mitchel,1994,285000,"$285,000.00"
340,Mitchel,1993,231000,"$231,000.00"
341,NAmes,1956,124500,"$124,500.00"
342,NAmes,1974,157000,"$157,000.00"
343,NAmes,1972,345000,"$345,000.00"
344,Gilbert,1997,189500,"$189,500.00"
345,Gilbert,2003,270000,"$270,000.00"
346,Gilbert,1996,189000,"$189,000.00"
347,Gilbert,2006,377500,"$377,500.00"
348,Gilbert,1995,168500,"$168,500.00"
349,StoneBr,2004,375000,"$375,000.00"
350,StoneBr,2000,278000,"$278,000.00"
351,StoneBr,1998,240000,"$240,000.00"
352,StoneBr,1995,239500,"$239,500.00"
353,Gilbert,1998,177500,"$177,500.00"
354,Gilbert,1998,185000,"$185,000.00"
355,Gilbert,1998,191000,"$191,000.00"
356,Gilbert,1993,178000,"$178,000.00"
357,Gilbert,1993,185000,"$185,000.00"
358,Gilbert,1994,181316,"$181,316.00"
359,Gilbert,1993,166000,"$166,000.00"
360,Gilbert,1992,178000,"$178,000.00"
361,Gilbert,1994,174000,"$174,000.00"
362,Gilbert,1992,173000,"$173,000.00"
363,Gilbert,1999,225000,"$225,000.00"
364,Gilbert,1990,180500,"$180,500.00"
365,StoneBr,1984,187500,"$187,500.00"
366,StoneBr,2008,501837,"$501,837.00"
367,StoneBr,2008,372500,"$372,500.00"
368,StoneBr,2005,260000,"$260,000.00"
369,Gilbert,1977,185000,"$185,000.00"
370,NWAmes,1980,260000,"$260,000.00"
371,NWAmes,1979,181000,"$181,000.00"
372,NWAmes,1977,82500,"$82,500.00"
373,NWAmes,1977,215000,"$215,000.00"
374,NWAmes,1978,154000,"$154,000.00"
375,NWAmes,1978,200000,"$200,000.00"
376,NWAmes,1980,249000,"$249,000.00"
377,NWAmes,1980,187500,"$187,500.00"
378,NWAmes,1978,184000,"$184,000.00"
379,NWAmes,1981,278000,"$278,000.00"
380,NWAmes,1978,157000,"$157,000.00"
381,NWAmes,1976,152000,"$152,000.00"
382,NWAmes,1976,197500,"$197,500.00"
383,Somerst,2003,240900,"$240,900.00"
384,Somerst,2009,263435,"$263,435.00"
385,Somerst,2000,220000,"$220,000.00"
386,Somerst,2002,235000,"$235,000.00"
387,NWAmes,1975,213000,"$213,000.00"
388,NWAmes,1974,167900,"$167,900.00"
389,NWAmes,1975,158000,"$158,000.00"
390,NWAmes,1974,165000,"$165,000.00"
391,NWAmes,1972,158000,"$158,000.00"
392,NAmes,1974,136000,"$136,000.00"
393,NAmes,1970,148500,"$148,500.00"
394,NAmes,1969,156000,"$156,000.00"
395,NAmes,1970,128000,"$128,000.00"
396,NAmes,1971,143000,"$143,000.00"
397,NAmes,1970,76500,"$76,500.00"
398,NAmes,1970,120500,"$120,500.00"
399,NAmes,1970,124500,"$124,500.00"
400,NAmes,1971,97000,"$97,000.00"
401,NAmes,1971,130000,"$130,000.00"
402,BrDale,1973,111000,"$111,000.00"
403,BrDale,1970,125000,"$125,000.00"
404,BrDale,1971,112000,"$112,000.00"
405,BrDale,1972,97000,"$97,000.00"
406,BrDale,1972,118000,"$118,000.00"
407,BrDale,1972,119500,"$119,500.00"
408,NPkVill,1976,143750,"$143,750.00"
409,NPkVill,1976,146000,"$146,000.00"
410,NPkVill,1976,148500,"$148,500.00"
411,NPkVill,1975,123000,"$123,000.00"
412,NPkVill,1974,147000,"$147,000.00"
413,NPkVill,1977,137900,"$137,900.00"
414,NPkVill,1978,147000,"$147,000.00"
415,NPkVill,1978,148500,"$148,500.00"
416,NPkVill,1978,138000,"$138,000.00"
417,NPkVill,1976,128500,"$128,500.00"
418,NAmes,1967,100000,"$100,000.00"
419,NAmes,1966,148800,"$148,800.00"
420,NridgHt,2006,337500,"$337,500.00"
421,NridgHt,2007,462000,"$462,000.00"
422,NridgHt,2008,485000,"$485,000.00"
423,NridgHt,2008,555000,"$555,000.00"
424,NridgHt,2006,325000,"$325,000.00"
425,NridgHt,2007,256300,"$256,300.00"
426,NridgHt,2008,253293,"$253,293.00"
427,NridgHt,2009,398800,"$398,800.00"
428,NridgHt,2008,335000,"$335,000.00"
429,NridgHt,2008,404000,"$404,000.00"
430,NridgHt,2009,402861,"$402,861.00"
431,NridgHt,2008,451950,"$451,950.00"
432,NridgHt,2007,610000,"$610,000.00"
433,NridgHt,2008,582933,"$582,933.00"
434,NridgHt,2008,360000,"$360,000.00"
435,NridgHt,2004,296000,"$296,000.00"
436,NridgHt,2007,409900,"$409,900.00"
437,NridgHt,2006,255500,"$255,500.00"
438,NridgHt,2008,335000,"$335,000.00"
439,NridgHt,2004,274900,"$274,900.00"
440,NridgHt,2006,300000,"$300,000.00"
441,NridgHt,2008,324000,"$324,000.00"
442,NridgHt,2004,350000,"$350,000.00"
443,NridgHt,2004,280000,"$280,000.00"
444,NridgHt,2003,284000,"$284,000.00"
445,NridgHt,2003,269500,"$269,500.00"
446,NridgHt,2009,233170,"$233,170.00"
447,NridgHt,2003,386250,"$386,250.00"
448,NridgHt,2003,445000,"$445,000.00"
449,NridgHt,2003,290000,"$290,000.00"
450,NridgHt,2006,255900,"$255,900.00"
451,NridgHt,2005,213000,"$213,000.00"
452,NridgHt,2005,196000,"$196,000.00"
453,NridgHt,2005,184500,"$184,500.00"
454,NridgHt,2007,212500,"$212,500.00"
455,NridgHt,2007,230000,"$230,000.00"
456,NridgHt,2004,552000,"$552,000.00"
457,NridgHt,2003,382500,"$382,500.00"
458,NridgHt,2008,320000,"$320,000.00"
459,NridgHt,2008,248500,"$248,500.00"
460,NridgHt,2002,286500,"$286,500.00"
461,NridgHt,2006,254000,"$254,000.00"
462,NridgHt,2003,173000,"$173,000.00"
463,NridgHt,2003,173000,"$173,000.00"
464,Gilbert,2005,184000,"$184,000.00"
465,Gilbert,2005,167800,"$167,800.00"
466,Gilbert,2005,174000,"$174,000.00"
467,Gilbert,2005,174000,"$174,000.00"
468,Blmngtn,2007,174000,"$174,000.00"
469,Blmngtn,2007,175900,"$175,900.00"
470,Blmngtn,2005,192500,"$192,500.00"
471,Blmngtn,2005,181000,"$181,000.00"
472,Blmngtn,2005,180000,"$180,000.00"
473,Blmngtn,2005,160200,"$160,200.00"
474,Gilbert,2004,188500,"$188,500.00"
475,Gilbert,2002,200000,"$200,000.00"
476,Gilbert,2004,170000,"$170,000.00"
477,Gilbert,2004,189500,"$189,500.00"
478,Gilbert,2002,184100,"$184,100.00"
479,Gilbert,2004,195500,"$195,500.00"
480,Gilbert,2003,192000,"$192,000.00"
481,Gilbert,2003,178000,"$178,000.00"
482,NridgHt,2007,207500,"$207,500.00"
483,Gilbert,2000,236000,"$236,000.00"
484,Gilbert,2002,257500,"$257,500.00"
485,Gilbert,2000,244000,"$244,000.00"
486,Gilbert,2004,167000,"$167,000.00"
487,Gilbert,2000,179000,"$179,000.00"
488,Gilbert,2000,190000,"$190,000.00"
489,Gilbert,1999,156000,"$156,000.00"
490,Gilbert,1999,245000,"$245,000.00"
491,Gilbert,1999,181000,"$181,000.00"
492,Gilbert,1999,214000,"$214,000.00"
493,Gilbert,1999,168000,"$168,000.00"
494,NoRidge,1999,337000,"$337,000.00"
495,NoRidge,1995,403000,"$403,000.00"
496,NoRidge,2000,327000,"$327,000.00"
497,NoRidge,1998,340000,"$340,000.00"
498,NoRidge,1998,336000,"$336,000.00"
499,NoRidge,1996,265000,"$265,000.00"
500,NoRidge,1994,315000,"$315,000.00"
501,NoRidge,1993,260000,"$260,000.00"
502,NoRidge,1995,260000,"$260,000.00"
503,NoRidge,1993,263550,"$263,550.00"
504,NoRidge,1994,402000,"$402,000.00"
505,NoRidge,1994,248000,"$248,000.00"
506,Somerst,2008,244600,"$244,600.00"
507,Somerst,2008,275000,"$275,000.00"
508,Somerst,2008,257500,"$257,500.00"
509,Somerst,2008,287090,"$287,090.00"
510,Somerst,2007,275500,"$275,500.00"
511,Somerst,2006,245000,"$245,000.00"
512,Somerst,2005,253000,"$253,000.00"
513,Somerst,2005,468000,"$468,000.00"
514,Somerst,2009,252678,"$252,678.00"
515,Somerst,2008,210000,"$210,000.00"
516,Somerst,2009,208300,"$208,300.00"
517,Somerst,2008,225000,"$225,000.00"
518,Somerst,2009,229456,"$229,456.00"
519,Somerst,2008,229800,"$229,800.00"
520,Somerst,2007,250000,"$250,000.00"
521,Somerst,2009,370878,"$370,878.00"
522,Somerst,2006,238500,"$238,500.00"
523,Somerst,2008,310000,"$310,000.00"
524,Somerst,2006,270000,"$270,000.00"
525,Somerst,2005,252000,"$252,000.00"
526,Somerst,2006,241000,"$241,000.00"
527,Somerst,2008,264500,"$264,500.00"
528,Somerst,2006,291000,"$291,000.00"
529,Somerst,2003,263000,"$263,000.00"
530,Somerst,2004,185000,"$185,000.00"
531,Somerst,2003,234500,"$234,500.00"
532,Somerst,2003,209000,"$209,000.00"
533,SawyerW,2007,159000,"$159,000.00"
534,SawyerW,2006,152000,"$152,000.00"
535,SawyerW,2004,143500,"$143,500.00"
536,SawyerW,2004,193000,"$193,000.00"
537,SawyerW,2004,203000,"$203,000.00"
538,SawyerW,2003,184900,"$184,900.00"
539,SawyerW,2004,159000,"$159,000.00"
540,SawyerW,2004,142000,"$142,000.00"
541,SawyerW,2003,153000,"$153,000.00"
542,SawyerW,2008,224243,"$224,243.00"
543,SawyerW,1996,220000,"$220,000.00"
544,SawyerW,2005,257000,"$257,000.00"
545,SawyerW,2001,189000,"$189,000.00"
546,SawyerW,1992,171500,"$171,500.00"
547,SawyerW,1980,120000,"$120,000.00"
548,SawyerW,1990,145000,"$145,000.00"
549,SawyerW,1994,184000,"$184,000.00"
550,SawyerW,1986,162000,"$162,000.00"
551,SawyerW,1981,160000,"$160,000.00"
552,SawyerW,1950,82000,"$82,000.00"
553,SawyerW,1928,76000,"$76,000.00"
554,Sawyer,1962,110000,"$110,000.00"
555,Sawyer,1977,135000,"$135,000.00"
556,Sawyer,1961,141000,"$141,000.00"
557,Sawyer,1961,122000,"$122,000.00"
558,Sawyer,1965,124100,"$124,100.00"
559,Sawyer,1963,129000,"$129,000.00"
560,Sawyer,1961,131400,"$131,400.00"
561,Sawyer,1965,62383,"$62,383.00"
562,Sawyer,1962,123000,"$123,000.00"
563,Veenker,1980,275000,"$275,000.00"
564,NoRidge,1991,235000,"$235,000.00"
565,Somerst,2004,280750,"$280,750.00"
566,Somerst,2009,164500,"$164,500.00"
567,Somerst,2009,173733,"$173,733.00"
568,Somerst,2008,222000,"$222,000.00"
569,Somerst,2008,195000,"$195,000.00"
570,Somerst,1999,172500,"$172,500.00"
571,Somerst,2000,180000,"$180,000.00"
572,Somerst,1999,156000,"$156,000.00"
573,Somerst,1999,172500,"$172,500.00"
574,Veenker,1977,318750,"$318,750.00"
575,Greens,1981,211500,"$211,500.00"
576,Veenker,1981,241600,"$241,600.00"
577,Veenker,1976,180500,"$180,500.00"
578,Sawyer,1976,150000,"$150,000.00"
579,NWAmes,1968,154000,"$154,000.00"
580,NWAmes,1970,185000,"$185,000.00"
581,NWAmes,1968,185750,"$185,750.00"
582,NWAmes,1973,200000,"$200,000.00"
583,NWAmes,1974,206000,"$206,000.00"
584,NWAmes,1972,162000,"$162,000.00"
585,NWAmes,1967,256900,"$256,900.00"
586,NWAmes,1967,197900,"$197,900.00"
587,NWAmes,1969,163000,"$163,000.00"
588,NWAmes,1969,113000,"$113,000.00"
589,NWAmes,1977,230000,"$230,000.00"
590,NWAmes,1977,167900,"$167,900.00"
591,NWAmes,1998,213250,"$213,250.00"
592,NWAmes,2001,227000,"$227,000.00"
593,NAmes,1967,130000,"$130,000.00"
594,NAmes,1967,143000,"$143,000.00"
595,NAmes,1965,117500,"$117,500.00"
596,NWAmes,1974,168500,"$168,500.00"
597,NWAmes,1971,172500,"$172,500.00"
598,NWAmes,1967,161500,"$161,500.00"
599,NAmes,1960,141500,"$141,500.00"
600,NAmes,1959,118000,"$118,000.00"
601,NAmes,1959,127500,"$127,500.00"
602,NAmes,1957,140000,"$140,000.00"
603,NAmes,1956,177625,"$177,625.00"
604,NAmes,1958,110000,"$110,000.00"
605,NAmes,1964,167000,"$167,000.00"
606,NAmes,1961,153000,"$153,000.00"
607,NAmes,1964,145100,"$145,100.00"
608,NAmes,1966,154000,"$154,000.00"
609,NAmes,1965,177500,"$177,500.00"
610,NAmes,1964,158000,"$158,000.00"
611,NAmes,1959,124500,"$124,500.00"
612,NAmes,1961,174500,"$174,500.00"
613,NAmes,1955,122000,"$122,000.00"
614,BrkSide,1940,82500,"$82,500.00"
615,BrkSide,1950,110000,"$110,000.00"
